"filename", "language", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "XML", "Markdown", "Properties", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\norma\Documents\GitHub\tienda-online\.env", "Properties", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\norma\Documents\GitHub\tienda-online\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\norma\Documents\GitHub\tienda-online\README.md", "Markdown", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 15, 35
"c:\Users\norma\Documents\GitHub\tienda-online\__test__\register.test.tsx", "TypeScript JSX", 0, 150, 0, 0, 0, 0, 0, 0, 0, 9, 10, 169
"c:\Users\norma\Documents\GitHub\tienda-online\components\card_producto.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\Users\norma\Documents\GitHub\tienda-online\components\layout.tsx", "TypeScript JSX", 0, 150, 0, 0, 0, 0, 0, 0, 0, 8, 14, 172
"c:\Users\norma\Documents\GitHub\tienda-online\components\modals\modal_venta.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 16, 111
"c:\Users\norma\Documents\GitHub\tienda-online\next.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\norma\Documents\GitHub\tienda-online\package-lock.json", "JSON", 0, 0, 0, 8071, 0, 0, 0, 0, 0, 0, 1, 8072
"c:\Users\norma\Documents\GitHub\tienda-online\package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\norma\Documents\GitHub\tienda-online\pages\404.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\norma\Documents\GitHub\tienda-online\pages\_app.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\norma\Documents\GitHub\tienda-online\pages\api\hello.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\norma\Documents\GitHub\tienda-online\pages\carrito\index.tsx", "TypeScript JSX", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 17, 197
"c:\Users\norma\Documents\GitHub\tienda-online\pages\compras\mis_compras.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\norma\Documents\GitHub\tienda-online\pages\index.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 9, 73
"c:\Users\norma\Documents\GitHub\tienda-online\pages\login\index.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\norma\Documents\GitHub\tienda-online\pages\productos\consultar_productos\index.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 12, 86
"c:\Users\norma\Documents\GitHub\tienda-online\pages\productos\registro_producto\index.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 8, 71
"c:\Users\norma\Documents\GitHub\tienda-online\pages\productos\ver\index.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\norma\Documents\GitHub\tienda-online\pages\provedores\consultar.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 11, 95
"c:\Users\norma\Documents\GitHub\tienda-online\pages\provedores\register.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 11, 118
"c:\Users\norma\Documents\GitHub\tienda-online\pages\register\index.tsx", "TypeScript JSX", 0, 161, 0, 0, 0, 0, 0, 0, 0, 1, 15, 177
"c:\Users\norma\Documents\GitHub\tienda-online\pages\ventas\consultar_ventas\index.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\norma\Documents\GitHub\tienda-online\pages\ventas\registro_venta\index.tsx", "TypeScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 9, 109
"c:\Users\norma\Documents\GitHub\tienda-online\public\vercel.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\norma\Documents\GitHub\tienda-online\services\auth.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 14, 75
"c:\Users\norma\Documents\GitHub\tienda-online\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 18, 130
"c:\Users\norma\Documents\GitHub\tienda-online\styles\card_producto.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 38
"c:\Users\norma\Documents\GitHub\tienda-online\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\norma\Documents\GitHub\tienda-online\styles\layout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 1, 38
"c:\Users\norma\Documents\GitHub\tienda-online\styles\pages\carrito.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 9, 104
"c:\Users\norma\Documents\GitHub\tienda-online\styles\pages\login.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 44
"c:\Users\norma\Documents\GitHub\tienda-online\styles\pages\modal_venta.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\norma\Documents\GitHub\tienda-online\styles\pages\productos.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 22
"c:\Users\norma\Documents\GitHub\tienda-online\styles\pages\register_provedor.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 30
"c:\Users\norma\Documents\GitHub\tienda-online\styles\pages\register_user.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 30
"c:\Users\norma\Documents\GitHub\tienda-online\styles\pages\registro_producto.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"c:\Users\norma\Documents\GitHub\tienda-online\styles\pages\registro_venta.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\norma\Documents\GitHub\tienda-online\tsconfig.json", "JSON with Comments", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\norma\Documents\GitHub\tienda-online\utils\constants.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"Total", "-", 32, 1452, 79, 8099, 4, 20, 1, 135, 326, 20, 235, 10403
